kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.9394,0.0,0.1385,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.9394,0.0,0.1385,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9393,0.0002,0.1386,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.9393,0.0002,0.1386,0.7604,-0.053,0.1385,0.752,0.053,0.1385,0.0652,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9391,0.0006,0.1388,0.7604,-0.0529,0.1385,0.752,0.053,0.1385,0.9391,0.0006,0.1388,0.7604,-0.0529,0.1385,0.752,0.053,0.1385,0.0658,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9388,0.0015,0.1393,0.7604,-0.0527,0.1386,0.752,0.053,0.1386,0.9388,0.0015,0.1393,0.7604,-0.0527,0.1386,0.752,0.053,0.1386,0.0669,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.9382,0.0028,0.14,0.7603,-0.0525,0.1387,0.752,0.053,0.1387,0.9382,0.0028,0.14,0.7603,-0.0525,0.1387,0.752,0.053,0.1387,0.0685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0015,-0.0,0.0004,-0.0008,-0.0015,-0.0015,3.0,3.0
0.05,0.9374,0.0047,0.1411,0.7603,-0.0521,0.1389,0.752,0.053,0.1389,0.9374,0.0047,0.1411,0.7603,-0.0521,0.1389,0.752,0.053,0.1389,0.0708,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0004,0.0015,-0.0,0.0004,-0.0008,-0.0015,-0.0015,0.0005,0.0018,-0.0,0.0005,-0.001,-0.0018,-0.0018,3.0,3.0
0.05,0.9362,0.0073,0.1425,0.7603,-0.0516,0.1392,0.752,0.053,0.1392,0.9362,0.0073,0.1425,0.7603,-0.0516,0.1392,0.752,0.053,0.1392,0.0738,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0009,0.0033,-0.0,0.0009,-0.0018,-0.0033,-0.0033,0.0006,0.0023,-0.0,0.0006,-0.0012,-0.0023,-0.0023,3.0,3.0
0.05,0.9348,0.0106,0.1443,0.7602,-0.051,0.1395,0.752,0.0529,0.1395,0.9348,0.0106,0.1443,0.7602,-0.051,0.1395,0.752,0.0529,0.1395,0.0778,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0015,0.0055,-0.0,0.0015,-0.003,-0.0055,-0.0055,0.0008,0.0029,-0.0,0.0008,-0.0016,-0.0029,-0.0029,3.0,3.0
0.05,0.933,0.0146,0.1465,0.7601,-0.0503,0.1398,0.752,0.0529,0.1398,0.933,0.0146,0.1465,0.7601,-0.0503,0.1398,0.752,0.0529,0.1398,0.0827,0.0029,0.0,0.0,0.0,0.0,1.0,1.0,0.0023,0.0084,-0.0,0.0023,-0.0046,-0.0084,-0.0084,0.001,0.0036,-0.0,0.001,-0.0008,-0.001,-0.0036,3.0,3.0
0.05,0.9309,0.0195,0.1491,0.76,-0.0493,0.1403,0.7519,0.0529,0.1403,0.9309,0.0195,0.1491,0.76,-0.0493,0.1403,0.7519,0.0529,0.1403,0.086,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0033,0.012,-0.0,0.0033,-0.0054,-0.0094,-0.012,0.0012,0.0045,-0.0,0.0012,-0.0024,-0.0045,-0.0045,3.0,3.0
0.05,0.9284,0.0253,0.1523,0.7599,-0.0483,0.1408,0.7519,0.0529,0.1408,0.9284,0.0253,0.1523,0.7599,-0.0483,0.1408,0.7519,0.0529,0.1408,0.0931,0.0,0.0036,0.0,0.0,0.0,1.0,1.0,0.0045,0.0165,-0.0001,0.0045,-0.0078,-0.0138,-0.0165,0.0015,0.0053,-0.0001,0.0015,-0.0029,-0.0053,-0.0088,3.0,3.0
0.05,0.9255,0.0319,0.1559,0.7598,-0.047,0.1414,0.7519,0.0528,0.1414,0.9255,0.0319,0.1559,0.7598,-0.047,0.1414,0.7519,0.0528,0.1414,0.1013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.006,0.0218,-0.0001,0.006,-0.0107,-0.0192,-0.0253,0.0017,0.0063,-0.0001,0.0017,-0.0034,-0.0063,-0.0063,3.0,3.0
0.05,0.9223,0.0393,0.1599,0.7597,-0.0456,0.1421,0.7519,0.0528,0.1421,0.9223,0.0393,0.1599,0.7597,-0.0456,0.1421,0.7519,0.0528,0.1421,0.1108,0.0037,0.0,0.0,0.0,0.0,1.0,1.0,0.0077,0.0281,-0.0002,0.0077,-0.0141,-0.0254,-0.0316,0.002,0.0072,-0.0001,0.002,-0.0025,-0.0039,-0.0072,3.0,3.0
0.05,0.9187,0.0477,0.1645,0.7595,-0.0441,0.1428,0.7518,0.0527,0.1428,0.9187,0.0477,0.1645,0.7595,-0.0441,0.1428,0.7518,0.0527,0.1428,0.1178,0.0,0.0039,0.0,0.0,0.0,1.0,1.0,0.0096,0.0353,-0.0004,0.0096,-0.0166,-0.0293,-0.0388,0.0022,0.0082,-0.0002,0.0022,-0.0045,-0.0082,-0.0121,3.0,3.0
0.05,0.9146,0.0569,0.1695,0.7593,-0.0423,0.1437,0.7518,0.0527,0.1437,0.9146,0.0569,0.1695,0.7593,-0.0423,0.1437,0.7518,0.0527,0.1437,0.1297,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0119,0.0436,-0.0005,0.0119,-0.0211,-0.0375,-0.0509,0.0025,0.0092,-0.0003,0.0025,-0.005,-0.0092,-0.0092,3.0,3.0
0.05,0.9102,0.067,0.1751,0.7591,-0.0404,0.1446,0.7518,0.0526,0.1446,0.9102,0.067,0.1751,0.7591,-0.0404,0.1446,0.7518,0.0526,0.1446,0.1428,0.0035,0.0038,0.0,0.0,0.0,1.0,1.0,0.0144,0.0528,-0.0008,0.0144,-0.0262,-0.0468,-0.0602,0.0028,0.0103,-0.0003,0.0028,-0.0042,-0.007,-0.0138,3.0,3.0
0.05,0.9055,0.078,0.181,0.7589,-0.0384,0.1456,0.7517,0.0526,0.1456,0.9055,0.078,0.181,0.7589,-0.0384,0.1456,0.7517,0.0526,0.1456,0.1537,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0172,0.0631,-0.0011,0.0172,-0.0304,-0.0538,-0.074,0.0031,0.0113,-0.0004,0.0031,-0.0061,-0.0113,-0.0113,3.0,3.0
0.05,0.9004,0.0897,0.1874,0.7587,-0.0362,0.1466,0.7517,0.0525,0.1466,0.9004,0.0897,0.1874,0.7587,-0.0362,0.1466,0.7517,0.0525,0.1466,0.1692,0.0,0.0044,0.0,0.0,0.0,1.0,1.0,0.0203,0.0744,-0.0016,0.0203,-0.0365,-0.0651,-0.0853,0.0033,0.0123,-0.0005,0.0034,-0.0067,-0.0123,-0.0166,3.0,3.0
0.05,0.8949,0.1022,0.1942,0.7585,-0.0339,0.1478,0.7516,0.0524,0.1478,0.8949,0.1022,0.1942,0.7585,-0.0339,0.1478,0.7516,0.0524,0.1478,0.1858,0.0039,0.0028,0.0,0.0,0.0,1.0,1.0,0.0236,0.0867,-0.0021,0.0237,-0.0432,-0.0774,-0.1019,0.0036,0.0133,-0.0007,0.0037,-0.0057,-0.0097,-0.0157,3.0,3.0
0.05,0.8892,0.1154,0.2015,0.7582,-0.0314,0.149,0.7516,0.0524,0.149,0.8892,0.1154,0.2015,0.7582,-0.0314,0.149,0.7516,0.0524,0.149,0.1997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0272,0.0999,-0.0028,0.0273,-0.0489,-0.0871,-0.1176,0.0039,0.0143,-0.0008,0.0039,-0.0077,-0.0143,-0.0143,3.0,3.0
0.05,0.8831,0.1293,0.209,0.758,-0.0288,0.1502,0.7515,0.0523,0.1502,0.8831,0.1293,0.209,0.758,-0.0288,0.1502,0.7515,0.0523,0.1502,0.2185,0.0,0.0054,0.0,0.0,0.0,1.0,1.0,0.0311,0.1142,-0.0036,0.0313,-0.0567,-0.1014,-0.1319,0.0041,0.0152,-0.001,0.0042,-0.0082,-0.0152,-0.0205,3.0,3.0
