kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7402,0.0107,0.1528,0.7597,-0.0456,0.1421,0.7519,0.0528,0.1421,0.725,0.0105,0.2883,0.5316,-0.2209,0.5973,0.523,0.2292,0.5924,0.0967,0.0035,0.0,0.0,0.0,0.0,1.0,1.0,0.0064,0.0096,-0.0001,0.0064,-0.0106,-0.0033,-0.0096,0.0016,0.0024,-0.0,0.0016,-0.0023,0.0009,-0.0024,3.0,3.0
0.05,0.7395,0.013,0.1558,0.7595,-0.0441,0.1428,0.7518,0.0527,0.1428,0.7238,0.0128,0.2912,0.5309,-0.2194,0.5987,0.5213,0.2304,0.594,0.0972,0.0,0.0029,0.0,0.0,0.0,1.0,1.0,0.008,0.012,-0.0001,0.008,-0.0129,-0.0023,-0.012,0.0018,0.0028,-0.0001,0.0018,-0.0037,-0.0028,-0.0056,3.0,3.0
0.05,0.7388,0.0155,0.1592,0.7593,-0.0423,0.1437,0.7518,0.0527,0.1437,0.7225,0.0152,0.2945,0.53,-0.2178,0.6002,0.5195,0.2318,0.5958,0.1019,0.0043,0.0,0.0,0.0,0.0,1.0,1.0,0.0099,0.0148,-0.0002,0.0099,-0.0166,-0.0051,-0.0176,0.0021,0.0031,-0.0001,0.0021,-0.003,0.0011,-0.0031,3.0,3.0
0.05,0.738,0.0183,0.1629,0.7591,-0.0404,0.1446,0.7518,0.0526,0.1446,0.721,0.0179,0.298,0.529,-0.216,0.6019,0.5174,0.2334,0.5979,0.1027,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0119,0.0179,-0.0002,0.0119,-0.0196,-0.004,-0.0207,0.0023,0.0034,-0.0001,0.0023,-0.0045,-0.0034,-0.0034,3.0,3.0
0.05,0.7372,0.0213,0.1668,0.7589,-0.0384,0.1456,0.7517,0.0526,0.1456,0.7195,0.0208,0.3018,0.5279,-0.214,0.6039,0.5151,0.2351,0.6001,0.1085,0.0051,0.0,0.0,0.0,0.0,1.0,1.0,0.0142,0.0213,-0.0003,0.0142,-0.0241,-0.0074,-0.0241,0.0025,0.0037,-0.0001,0.0025,-0.0037,0.0012,-0.0037,3.0,3.0
0.05,0.7362,0.0245,0.1711,0.7587,-0.0362,0.1466,0.7517,0.0525,0.1466,0.7178,0.0239,0.3058,0.5267,-0.2118,0.606,0.5126,0.237,0.6026,0.1098,0.0,0.003,0.0,0.0,0.0,1.0,1.0,0.0167,0.025,-0.0004,0.0167,-0.0278,-0.0062,-0.0278,0.0027,0.004,-0.0001,0.0027,-0.0054,-0.004,-0.007,3.0,3.0
0.05,0.7353,0.0279,0.1757,0.7585,-0.0339,0.1478,0.7516,0.0524,0.1478,0.716,0.0272,0.3102,0.5254,-0.2094,0.6082,0.5098,0.2391,0.6053,0.1166,0.0058,0.0,0.0,0.0,0.0,1.0,1.0,0.0194,0.0291,-0.0006,0.0194,-0.0332,-0.0103,-0.0348,0.0029,0.0043,-0.0002,0.0029,-0.0043,0.0013,-0.0043,3.0,3.0
0.05,0.7342,0.0315,0.1805,0.7582,-0.0314,0.149,0.7516,0.0524,0.149,0.7141,0.0308,0.3147,0.524,-0.2069,0.6107,0.5068,0.2413,0.6081,0.1184,0.0031,0.0,0.0,0.0,0.0,1.0,1.0,0.0223,0.0334,-0.0008,0.0223,-0.0375,-0.009,-0.0391,0.0031,0.0046,-0.0002,0.0031,-0.0054,-0.0016,-0.0046,3.0,3.0
0.05,0.7331,0.0353,0.1855,0.758,-0.0288,0.1502,0.7515,0.0523,0.1502,0.7121,0.0344,0.3195,0.5225,-0.2042,0.6133,0.5036,0.2436,0.6112,0.1233,0.0033,0.003,0.0,0.0,0.0,1.0,1.0,0.0253,0.038,-0.001,0.0254,-0.0429,-0.0106,-0.0438,0.0033,0.0049,-0.0003,0.0033,-0.0057,-0.0017,-0.0078,3.0,3.0
0.05,0.732,0.0392,0.1908,0.7577,-0.0261,0.1516,0.7515,0.0522,0.1516,0.71,0.0383,0.3246,0.5208,-0.2014,0.6161,0.5002,0.2461,0.6144,0.1285,0.0034,0.0,0.0,0.0,0.0,1.0,1.0,0.0286,0.0429,-0.0013,0.0286,-0.0486,-0.0123,-0.0515,0.0034,0.0052,-0.0003,0.0034,-0.006,-0.0019,-0.0052,3.0,3.0
0.05,0.7308,0.0434,0.1963,0.7574,-0.0232,0.1529,0.7514,0.0521,0.1529,0.7079,0.0423,0.3298,0.5191,-0.1984,0.619,0.4965,0.2487,0.6178,0.1341,0.0035,0.0,0.0,0.0,0.0,1.0,1.0,0.032,0.0481,-0.0016,0.0321,-0.0547,-0.0142,-0.0567,0.0036,0.0054,-0.0004,0.0036,-0.0063,-0.002,-0.0054,3.0,3.0
0.05,0.7296,0.0476,0.202,0.7571,-0.0203,0.1544,0.7514,0.052,0.1544,0.7057,0.0464,0.3351,0.5173,-0.1953,0.6221,0.4927,0.2514,0.6213,0.1401,0.0036,0.0035,0.0,0.0,0.0,1.0,1.0,0.0356,0.0535,-0.0019,0.0357,-0.061,-0.0162,-0.0621,0.0037,0.0056,-0.0004,0.0037,-0.0066,-0.0021,-0.0089,3.0,3.0
0.05,0.7283,0.052,0.2078,0.7568,-0.0173,0.1558,0.7513,0.052,0.1558,0.7034,0.0506,0.3406,0.5153,-0.1921,0.6252,0.4887,0.2542,0.625,0.1463,0.0037,0.0,0.0,0.0,0.0,1.0,1.0,0.0394,0.0591,-0.0024,0.0394,-0.0676,-0.0183,-0.071,0.0039,0.0058,-0.0005,0.0039,-0.0068,-0.0022,-0.0058,3.0,3.0
0.05,0.727,0.0565,0.2138,0.7565,-0.0142,0.1573,0.7512,0.0519,0.1573,0.7011,0.0549,0.3463,0.5133,-0.1888,0.6285,0.4845,0.257,0.6288,0.1528,0.0038,0.0,0.0,0.0,0.0,1.0,1.0,0.0432,0.0649,-0.0028,0.0433,-0.0744,-0.0205,-0.0768,0.004,0.006,-0.0005,0.004,-0.007,-0.0023,-0.006,3.0,3.0
0.05,0.7257,0.061,0.2199,0.7562,-0.0111,0.1588,0.7512,0.0518,0.1588,0.6987,0.0593,0.352,0.5112,-0.1854,0.6319,0.4801,0.26,0.6327,0.1595,0.0038,0.0039,0.0,0.0,0.0,1.0,1.0,0.0472,0.0708,-0.0034,0.0473,-0.0815,-0.0228,-0.0828,0.004,0.0061,-0.0006,0.0041,-0.0072,-0.0024,-0.0098,3.0,3.0
